country_iso2,desktop,mobile,other,mobile_ratio,tls13,IPv6,HTTP/3,bw_p50,bot_ratio,mobile_group
AD,63.4115637735849,36.568136,0.020300132075471697,0.3656813603413256,67.04904024528302,2.042344566037736,26.59494703773585,25.784762075471697,0.19950088735649554,Faible mobile
AE,55.65242854716981,44.31726733962264,0.030304188679245284,0.4431726730573247,69.529861,35.572591943396226,23.623259981132076,30.466350132075473,0.15362569754563352,Faible mobile
AF,55.364006886792446,44.6337759245283,0.0022172264150943396,0.4463377590723903,75.93592479245282,4.377576773584906,11.966794056603774,3.7018688301886793,0.3048441332044987,Faible mobile
AG,43.87284775471698,56.053784849056605,0.0733673962264151,0.5605378484849607,67.82787235849057,4.149803886792453,26.760087471698114,9.525734962264151,0.11944552320635271,Fort mobile
AI,48.72113271698113,51.19834358490566,0.08052377358490566,0.5119834354575342,68.73751662264151,39.07198660377359,25.642576886792455,17.27410668627451,0.15786296037577982,Moyen mobile
AL,56.56224111320755,43.34079949056604,0.09695943396226414,0.4334079947377761,62.178227735849056,5.312519754716981,24.656215566037734,15.74117537735849,0.37386404263777084,Faible mobile
AM,49.85345364150944,50.10924860377359,0.03729781132075472,0.5010924857490876,56.49420566037736,6.759872698113208,37.722663999999995,13.22376141509434,0.12240442830066274,Moyen mobile
AN,,,,,,,,,,Fort mobile
AO,32.79581932075472,67.1914098490566,0.012770962264150944,0.6719140975964131,67.33241966037735,12.467762188679245,24.30617237735849,5.498891811320754,0.2022621267904302,Fort mobile
AP,,,,,,,,,,Fort mobile
AQ,89.84752856603774,10.138799037735849,0.013672415094339623,0.1013879903572148,95.37872928301887,42.90995375471699,1.4009280943396227,10.845403210526316,0.7261831345210401,Faible mobile
AR,47.92400769811321,52.05843884905661,0.017553396226415094,0.5205843887800305,65.59376177358492,25.500263811320753,27.960650094339623,22.5992009245283,0.1401838754702963,Moyen mobile
AS,64.75023764150944,35.233632754716986,0.016129547169811322,0.3523363277430821,72.0203273018868,42.94377915094339,22.5007660754717,4.786358094339622,0.2601055122615499,Faible mobile
AT,57.64196149056604,42.32761249056603,0.030426018867924527,0.4232761249014276,66.95740539622642,31.64702509433962,27.253510981132074,23.102749245283018,0.1912331111301631,Faible mobile
AU,63.42165503773585,36.56243811320755,0.015906943396226416,0.3656243807834905,64.56378390566037,25.073428075471696,26.623851735849055,27.053768150943394,0.20596392339416678,Faible mobile
AW,46.545909377358484,53.39040247169811,0.06368822641509433,0.5339040243086957,64.82117816981132,2.5210580943396224,29.727223471698114,10.330037716981131,0.07587663509358085,Moyen mobile
AX,66.5387033773585,33.42908443396227,0.032212264150943394,0.33429084408398474,59.917079301886794,29.233254396226414,31.400088037735852,49.68197873584906,0.1530608716965826,Faible mobile
AZ,49.09753356603774,50.75122535849057,0.15124098113207549,0.5075122540586157,64.54401756603774,0.3846592075471698,28.28979583018868,9.600330849056604,0.14740746679097877,Moyen mobile
BA,40.22382003773585,59.73155849056603,0.044621452830188674,0.5973155850123882,59.378006603773585,7.692852528301887,33.38955013207547,16.902072509433964,0.15631857867768212,Fort mobile
BB,49.18542026415095,50.76110518867924,0.053474660377358485,0.5076110513070622,64.17749311320755,14.208364226415094,26.379650679245284,8.92537537735849,0.16022653377198265,Moyen mobile
BD,28.573160641509435,71.41711660377358,0.009722716981132076,0.7141711663000927,68.47569973584906,20.001975735849058,24.31298950943396,10.491114641509435,0.13049086131944979,Fort mobile
BE,67.42689103773584,32.55280958490566,0.020299264150943394,0.32552809621432366,72.39915650943396,33.97351764150943,20.559880773584904,28.293438735849058,0.37556580452454624,Faible mobile
BF,45.47932503773585,54.505864264150944,0.014810792452830188,0.5450586421218525,65.92340854716981,11.844133792452832,19.877273905660378,5.45613679245283,0.22983924546939974,Moyen mobile
BG,51.64007667924528,48.24849960377358,0.11142369811320754,0.48248499612394585,67.2607463018868,15.243273603773584,27.161114320754717,23.5294360754717,0.2067153218847253,Moyen mobile
BH,57.537002566037735,42.42995611320755,0.03304143396226415,0.4242995606474933,62.9815929245283,16.349623849056606,27.349064358490565,18.04584262264151,0.25506535867669466,Faible mobile
BI,44.22150056603773,55.774872415094336,0.003626962264150944,0.5577487244610727,66.43753916981133,5.724355056603774,19.02255958490566,3.8587066603773583,0.21748657848839117,Fort mobile
BJ,39.65339111320754,60.32992743396227,0.01668145283018868,0.6032992743335898,61.76559220754717,3.3965661509433964,29.390477188679245,4.220145056603774,0.148174399809839,Fort mobile
BL,54.82175462264151,45.06773981132075,0.11050550943396226,0.45067739836380116,64.25627396226415,58.41221403773584,31.598093735849055,10.31300751724138,0.08591094773498995,Faible mobile
BM,53.438350698113204,46.4582,0.10344922641509435,0.46458200034598207,63.63443220754717,15.666850603773584,28.606737188679247,16.19307383018868,0.09874815264052196,Moyen mobile
BN,49.83656367924529,50.138120188679245,0.02531609433962264,0.501381202070979,64.94095267924529,1.135253962264151,28.257018641509433,11.659422094339623,0.13072823811190024,Moyen mobile
