date,category,PASS,NONE,FAIL
2025-06-09 00:00:00+00:00,dkim,88.422421,9.521005,2.056574
2025-06-16 00:00:00+00:00,dkim,89.488834,8.865347,1.645819
2025-06-23 00:00:00+00:00,dkim,89.777273,8.786315,1.436411
2025-06-30 00:00:00+00:00,dkim,88.811458,9.629326,1.559216
2025-07-07 00:00:00+00:00,dkim,89.632341,9.039131,1.328529
2025-07-14 00:00:00+00:00,dkim,88.85128,9.651066,1.497654
2025-07-21 00:00:00+00:00,dkim,89.087425,9.336228,1.576347
2025-07-28 00:00:00+00:00,dkim,84.124356,14.091989,1.783655
2025-08-04 00:00:00+00:00,dkim,86.257807,11.676389,2.065804
2025-08-11 00:00:00+00:00,dkim,88.065609,9.464941,2.469449
2025-08-18 00:00:00+00:00,dkim,88.895223,8.529988,2.574789
2025-08-25 00:00:00+00:00,dkim,89.393297,9.320519,1.286184
2025-09-01 00:00:00+00:00,dkim,89.661771,8.948148,1.390081
2025-09-08 00:00:00+00:00,dkim,90.888705,7.734523,1.376772
2025-09-15 00:00:00+00:00,dkim,87.350651,11.267863,1.381486
2025-09-22 00:00:00+00:00,dkim,88.321728,10.250999,1.427273
2025-09-29 00:00:00+00:00,dkim,87.972557,10.884331,1.143111
2025-10-06 00:00:00+00:00,dkim,88.240771,10.509723,1.249505
2025-10-13 00:00:00+00:00,dkim,87.40961,11.506976,1.083414
2025-10-20 00:00:00+00:00,dkim,87.970288,10.78542,1.244293
2025-10-27 00:00:00+00:00,dkim,90.310934,8.521115,1.167951
2025-11-03 00:00:00+00:00,dkim,89.661348,9.017286,1.321365
2025-11-10 00:00:00+00:00,dkim,89.093988,9.605282,1.30073
2025-11-17 00:00:00+00:00,dkim,88.90314,9.573176,1.523684
2025-11-24 00:00:00+00:00,dkim,89.771733,8.909519,1.318748
2025-12-01 00:00:00+00:00,dkim,91.002392,7.589995,1.407612
2025-12-08 00:00:00+00:00,dkim,89.250463,9.518814,1.230723
2025-12-15 00:00:00+00:00,dkim,88.911888,9.857836,1.230276
2025-12-22 00:00:00+00:00,dkim,86.287007,12.304042,1.408951
2025-12-29 00:00:00+00:00,dkim,85.77431,11.855592,2.370099
2026-01-05 00:00:00+00:00,dkim,88.804225,9.909951,1.285823
2026-01-12 00:00:00+00:00,dkim,88.026531,10.840271,1.133198
2026-01-19 00:00:00+00:00,dkim,87.945304,10.07031,1.984386
2026-01-26 00:00:00+00:00,dkim,93.087764,5.777719,1.134517
2026-02-02 00:00:00+00:00,dkim,92.847245,5.730725,1.42203
2026-02-09 00:00:00+00:00,dkim,92.901904,5.567531,1.530565
2026-02-16 00:00:00+00:00,dkim,93.169111,5.502213,1.328675
2026-02-23 00:00:00+00:00,dkim,92.302416,6.160644,1.53694
2026-03-02 00:00:00+00:00,dkim,89.722133,6.355643,3.922224
2026-03-09 00:00:00+00:00,dkim,91.215696,6.710328,2.073976
2026-03-16 00:00:00+00:00,dkim,91.837699,7.22798,0.934322
2026-03-23 00:00:00+00:00,dkim,90.253771,8.418116,1.328112
2026-03-30 00:00:00+00:00,dkim,89.954965,8.367565,1.67747
2026-04-06 00:00:00+00:00,dkim,89.706131,8.197187,2.096682
2026-04-13 00:00:00+00:00,dkim,91.440399,6.585183,1.974418
2026-04-20 00:00:00+00:00,dkim,89.949466,7.704501,2.346033
2026-04-27 00:00:00+00:00,dkim,89.702397,7.775505,2.522098
2026-05-04 00:00:00+00:00,dkim,91.378109,7.192106,1.429785
2026-05-11 00:00:00+00:00,dkim,90.33178,7.566152,2.102069
2026-05-18 00:00:00+00:00,dkim,88.924863,8.380317,2.69482
2026-05-25 00:00:00+00:00,dkim,89.080018,8.091061,2.82892
2026-06-01 00:00:00+00:00,dkim,89.844338,7.575336,2.580325
2026-06-08 00:00:00+00:00,dkim,88.761991,8.988346,2.249663
